indice,nivel_territorial,unidade_de_medida,valor,regiao,variavel,periodo,categorias,tabela
1,Brasil,Mil pessoas,"89.695,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Total,tabela_4191_var_4090
2,Brasil,Mil pessoas,"55.920,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Contribuintes,tabela_4191_var_4090
3,Brasil,Mil pessoas,"91.359,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Total,tabela_4191_var_4090
4,Brasil,Mil pessoas,"58.062,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Contribuintes,tabela_4191_var_4090
5,Brasil,Mil pessoas,"92.248,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Total,tabela_4191_var_4090
6,Brasil,Mil pessoas,"60.003,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Contribuintes,tabela_4191_var_4090
7,Brasil,Mil pessoas,"92.400,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Total,tabela_4191_var_4090
8,Brasil,Mil pessoas,"60.329,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Contribuintes,tabela_4191_var_4090
9,Brasil,Mil pessoas,"90.750,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Total,tabela_4191_var_4090
10,Brasil,Mil pessoas,"59.276,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Contribuintes,tabela_4191_var_4090
11,Brasil,Mil pessoas,"91.205,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Total,tabela_4191_var_4090
12,Brasil,Mil pessoas,"58.154,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Contribuintes,tabela_4191_var_4090
13,Brasil,Mil pessoas,"92.771,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Total,tabela_4191_var_4090
14,Brasil,Mil pessoas,"58.698,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Contribuintes,tabela_4191_var_4090
15,Brasil,Mil pessoas,"94.956,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Total,tabela_4191_var_4090
16,Brasil,Mil pessoas,"59.858,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Contribuintes,tabela_4191_var_4090
17,Brasil,Mil pessoas,"86.673,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Total,tabela_4191_var_4090
18,Brasil,Mil pessoas,"56.708,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Contribuintes,tabela_4191_var_4090
19,Brasil,Mil pessoas,"89.495,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Total,tabela_4191_var_4090
20,Brasil,Mil pessoas,"57.413,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Contribuintes,tabela_4191_var_4090
21,Brasil,Mil pessoas,"96.982,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Total,tabela_4191_var_4090
22,Brasil,Mil pessoas,"61.858,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Contribuintes,tabela_4191_var_4090
23,Brasil,Mil pessoas,"100.690,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Total,tabela_4191_var_4090
24,Brasil,Mil pessoas,"65.007,00",Brasil,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Contribuintes,tabela_4191_var_4090
25,Grande Região,Mil pessoas,"21.609,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Total,tabela_4191_var_4090
26,Grande Região,Mil pessoas,"9.777,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Contribuintes,tabela_4191_var_4090
27,Grande Região,Mil pessoas,"21.817,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Total,tabela_4191_var_4090
28,Grande Região,Mil pessoas,"10.091,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Contribuintes,tabela_4191_var_4090
29,Grande Região,Mil pessoas,"22.571,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Total,tabela_4191_var_4090
30,Grande Região,Mil pessoas,"10.803,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Contribuintes,tabela_4191_var_4090
31,Grande Região,Mil pessoas,"22.627,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Total,tabela_4191_var_4090
32,Grande Região,Mil pessoas,"10.952,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Contribuintes,tabela_4191_var_4090
33,Grande Região,Mil pessoas,"21.323,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Total,tabela_4191_var_4090
34,Grande Região,Mil pessoas,"10.511,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Contribuintes,tabela_4191_var_4090
35,Grande Região,Mil pessoas,"21.042,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Total,tabela_4191_var_4090
36,Grande Região,Mil pessoas,"10.214,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Contribuintes,tabela_4191_var_4090
37,Grande Região,Mil pessoas,"21.231,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Total,tabela_4191_var_4090
38,Grande Região,Mil pessoas,"10.318,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Contribuintes,tabela_4191_var_4090
39,Grande Região,Mil pessoas,"21.591,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Total,tabela_4191_var_4090
40,Grande Região,Mil pessoas,"10.315,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Contribuintes,tabela_4191_var_4090
41,Grande Região,Mil pessoas,"19.013,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Total,tabela_4191_var_4090
42,Grande Região,Mil pessoas,"9.767,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Contribuintes,tabela_4191_var_4090
43,Grande Região,Mil pessoas,"19.811,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Total,tabela_4191_var_4090
44,Grande Região,Mil pessoas,"9.625,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Contribuintes,tabela_4191_var_4090
45,Grande Região,Mil pessoas,"21.848,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Total,tabela_4191_var_4090
46,Grande Região,Mil pessoas,"10.528,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Contribuintes,tabela_4191_var_4090
47,Grande Região,Mil pessoas,"22.412,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Total,tabela_4191_var_4090
48,Grande Região,Mil pessoas,"10.857,00",Nordeste,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Contribuintes,tabela_4191_var_4090
49,Unidade da Federação,Mil pessoas,"1.331,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Total,tabela_4191_var_4090
50,Unidade da Federação,Mil pessoas,"523,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Contribuintes,tabela_4191_var_4090
51,Unidade da Federação,Mil pessoas,"1.364,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Total,tabela_4191_var_4090
52,Unidade da Federação,Mil pessoas,"563,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Contribuintes,tabela_4191_var_4090
53,Unidade da Federação,Mil pessoas,"1.399,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Total,tabela_4191_var_4090
54,Unidade da Federação,Mil pessoas,"564,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Contribuintes,tabela_4191_var_4090
55,Unidade da Federação,Mil pessoas,"1.420,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Total,tabela_4191_var_4090
56,Unidade da Federação,Mil pessoas,"572,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Contribuintes,tabela_4191_var_4090
57,Unidade da Federação,Mil pessoas,"1.296,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Total,tabela_4191_var_4090
58,Unidade da Federação,Mil pessoas,"541,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Contribuintes,tabela_4191_var_4090
59,Unidade da Federação,Mil pessoas,"1.265,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Total,tabela_4191_var_4090
60,Unidade da Federação,Mil pessoas,"512,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Contribuintes,tabela_4191_var_4090
61,Unidade da Federação,Mil pessoas,"1.228,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Total,tabela_4191_var_4090
62,Unidade da Federação,Mil pessoas,"535,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Contribuintes,tabela_4191_var_4090
63,Unidade da Federação,Mil pessoas,"1.293,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Total,tabela_4191_var_4090
64,Unidade da Federação,Mil pessoas,"506,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Contribuintes,tabela_4191_var_4090
65,Unidade da Federação,Mil pessoas,"1.136,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Total,tabela_4191_var_4090
66,Unidade da Federação,Mil pessoas,"488,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Contribuintes,tabela_4191_var_4090
67,Unidade da Federação,Mil pessoas,"1.245,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Total,tabela_4191_var_4090
68,Unidade da Federação,Mil pessoas,"507,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Contribuintes,tabela_4191_var_4090
69,Unidade da Federação,Mil pessoas,"1.270,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Total,tabela_4191_var_4090
70,Unidade da Federação,Mil pessoas,"556,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Contribuintes,tabela_4191_var_4090
71,Unidade da Federação,Mil pessoas,"1.268,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Total,tabela_4191_var_4090
72,Unidade da Federação,Mil pessoas,"570,00",Piauí,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Contribuintes,tabela_4191_var_4090
1,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Total,tabela_4191_var_4091
2,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Contribuintes,tabela_4191_var_4091
3,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Total,tabela_4191_var_4091
4,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Contribuintes,tabela_4191_var_4091
5,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Total,tabela_4191_var_4091
6,Brasil,%,"0,30",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Contribuintes,tabela_4191_var_4091
7,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Total,tabela_4191_var_4091
8,Brasil,%,"0,30",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Contribuintes,tabela_4191_var_4091
9,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Total,tabela_4191_var_4091
10,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Contribuintes,tabela_4191_var_4091
11,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Total,tabela_4191_var_4091
12,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2017,Contribuintes,tabela_4191_var_4091
13,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Total,tabela_4191_var_4091
14,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2018,Contribuintes,tabela_4191_var_4091
15,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Total,tabela_4191_var_4091
16,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2019,Contribuintes,tabela_4191_var_4091
17,Brasil,%,"0,30",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Total,tabela_4191_var_4091
18,Brasil,%,"0,50",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2020,Contribuintes,tabela_4191_var_4091
19,Brasil,%,"0,30",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Total,tabela_4191_var_4091
20,Brasil,%,"0,50",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2021,Contribuintes,tabela_4191_var_4091
21,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Total,tabela_4191_var_4091
22,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2022,Contribuintes,tabela_4191_var_4091
23,Brasil,%,"0,20",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Total,tabela_4191_var_4091
24,Brasil,%,"0,40",Brasil,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2023,Contribuintes,tabela_4191_var_4091
25,Grande Região,%,"0,50",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Total,tabela_4191_var_4091
26,Grande Região,%,"1,00",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,Contribuintes,tabela_4191_var_4091
27,Grande Região,%,"0,50",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Total,tabela_4191_var_4091
28,Grande Região,%,"1,10",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2013,Contribuintes,tabela_4191_var_4091
29,Grande Região,%,"0,50",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Total,tabela_4191_var_4091
30,Grande Região,%,"1,10",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2014,Contribuintes,tabela_4191_var_4091
31,Grande Região,%,"0,50",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Total,tabela_4191_var_4091
32,Grande Região,%,"1,00",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2015,Contribuintes,tabela_4191_var_4091
33,Grande Região,%,"0,50",Nordeste,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2016,Total,tabela_4191_var_4091
