indice,nivel_territorial,unidade_de_medida,valor,regiao,variavel,periodo,categorias,tabela
1,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2012,Total,tabela_1616_var_4110
2,Brasil,%,"14,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2012,Menos de 1 mês,tabela_1616_var_4110
3,Brasil,%,"49,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2012,De 1 mês a menos de 1 ano,tabela_1616_var_4110
4,Brasil,%,"12,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2012,De 1 ano a menos de 2 anos,tabela_1616_var_4110
5,Brasil,%,"23,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2012,2 anos ou mais,tabela_1616_var_4110
6,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2012,Total,tabela_1616_var_4110
7,Brasil,%,"12,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2012,Menos de 1 mês,tabela_1616_var_4110
8,Brasil,%,"52,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2012,De 1 mês a menos de 1 ano,tabela_1616_var_4110
9,Brasil,%,"13,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2012,De 1 ano a menos de 2 anos,tabela_1616_var_4110
10,Brasil,%,"20,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2012,2 anos ou mais,tabela_1616_var_4110
11,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2012,Total,tabela_1616_var_4110
12,Brasil,%,"12,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2012,Menos de 1 mês,tabela_1616_var_4110
13,Brasil,%,"53,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2012,De 1 mês a menos de 1 ano,tabela_1616_var_4110
14,Brasil,%,"13,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2012,De 1 ano a menos de 2 anos,tabela_1616_var_4110
15,Brasil,%,"21,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2012,2 anos ou mais,tabela_1616_var_4110
16,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2012,Total,tabela_1616_var_4110
17,Brasil,%,"12,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2012,Menos de 1 mês,tabela_1616_var_4110
18,Brasil,%,"54,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2012,De 1 mês a menos de 1 ano,tabela_1616_var_4110
19,Brasil,%,"14,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2012,De 1 ano a menos de 2 anos,tabela_1616_var_4110
20,Brasil,%,"18,60",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",4º trimestre 2012,2 anos ou mais,tabela_1616_var_4110
21,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2013,Total,tabela_1616_var_4110
22,Brasil,%,"14,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2013,Menos de 1 mês,tabela_1616_var_4110
23,Brasil,%,"53,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2013,De 1 mês a menos de 1 ano,tabela_1616_var_4110
24,Brasil,%,"13,40",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2013,De 1 ano a menos de 2 anos,tabela_1616_var_4110
25,Brasil,%,"17,90",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",1º trimestre 2013,2 anos ou mais,tabela_1616_var_4110
26,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2013,Total,tabela_1616_var_4110
27,Brasil,%,"11,80",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2013,Menos de 1 mês,tabela_1616_var_4110
28,Brasil,%,"56,10",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2013,De 1 mês a menos de 1 ano,tabela_1616_var_4110
29,Brasil,%,"14,20",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2013,De 1 ano a menos de 2 anos,tabela_1616_var_4110
30,Brasil,%,"18,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",2º trimestre 2013,2 anos ou mais,tabela_1616_var_4110
31,Brasil,%,"100,00",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2013,Total,tabela_1616_var_4110
32,Brasil,%,"12,70",Brasil,"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",3º trimestre 2013,Menos de 1 mês,tabela_1616_var_4110
